[DEBUG] 2023-02-26 13:36:28.522 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@15569f3a
[DEBUG] 2023-02-26 13:36:28.522 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@15569f3a
[DEBUG] 2023-02-26 13:36:28.522 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@15569f3a
[DEBUG] 2023-02-26 13:36:28.524 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@367e668
[DEBUG] 2023-02-26 13:36:28.524 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@367e668
[DEBUG] 2023-02-26 13:36:28.524 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@367e668
[DEBUG] 2023-02-26 13:36:28.524 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@30ef55e6
[DEBUG] 2023-02-26 13:36:28.524 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@4e70b5c8
[DEBUG] 2023-02-26 13:36:28.526 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@56e2af79
[DEBUG] 2023-02-26 13:36:28.526 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@56e2af79
[DEBUG] 2023-02-26 13:36:28.526 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@14ea1c33
[DEBUG] 2023-02-26 13:36:28.527 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@fafbe62
[DEBUG] 2023-02-26 13:36:28.527 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@fafbe62
[DEBUG] 2023-02-26 13:36:28.528 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@69b00dd8
[DEBUG] 2023-02-26 13:36:28.529 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@69b00dd8
[DEBUG] 2023-02-26 13:36:28.529 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@17a2dc33
[DEBUG] 2023-02-26 13:36:28.529 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@58113cd6
[DEBUG] 2023-02-26 13:36:28.533 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@113d7ec
[DEBUG] 2023-02-26 13:36:28.539 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@72a5cc42
[DEBUG] 2023-02-26 13:36:28.539 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@72a5cc42
[DEBUG] 2023-02-26 13:36:28.541 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@609d28
[DEBUG] 2023-02-26 13:36:28.541 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@60a758d4
[DEBUG] 2023-02-26 13:36:28.541 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@7f105d5f
[DEBUG] 2023-02-26 13:36:28.541 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@7f021551
[DEBUG] 2023-02-26 13:36:28.544 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@7b8f4e44
[DEBUG] 2023-02-26 13:36:28.544 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@21b4d819
[DEBUG] 2023-02-26 13:36:28.546 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@5c3383d5
[DEBUG] 2023-02-26 13:36:28.546 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@33f4bd9f
[DEBUG] 2023-02-26 13:36:28.650 [http-nio-8080-exec-7] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2023-02-26 13:36:28.652 [http-nio-8080-exec-7] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
